idT,idR
1443,R036
1419,R036
1333,R036
1196,R036
1141,R036
1324,R036
1335,R036
1228,R036
1189,R036
1006,R036
1062,R036
1116,R037
1012,R037
1301,R037
1294,R037
1246,R037
1141,R037
1356,R037
1382,R037
1049,R037
1407,R037
1304,R037
1093,R037
1197,R037
1366,R038
1466,R038
1442,R038
1408,R038
1276,R038
1095,R038
1276,R039
1366,R039
1420,R039
1405,R039
1334,R039
1064,R039
1386,R039
1107,R039
1495,R039
1338,R039
1460,R039
1061,R039
1093,R039
1442,R039
1106,R040
1335,R040
1083,R040
1045,R040
1288,R040
1132,R040
1436,R040
1386,R040
1018,R040
1044,R040
1064,R040
1260,R040
1153,R040
1187,R040
1338,R041
1274,R041
1228,R041
1072,R041
1296,R041
1252,R041
1356,R041
1161,R041
1268,R041
1420,R042
1023,R042
1122,R042
1019,R042
1097,R042
1073,R042
1154,R042
1439,R042
1427,R042
1111,R042
1491,R042
1069,R042
1309,R042
1283,R042
1303,R042
1196,R043
1333,R043
1463,R043
1084,R043
1205,R043
1234,R043
1043,R043
1484,R043
1131,R043
1325,R044
1357,R044
1331,R044
1099,R044
1366,R044
1191,R044
1289,R044
1337,R044
1332,R044
1127,R045
1040,R045
1139,R045
1064,R045
1273,R045
1057,R045
1351,R045
1281,R045
1209,R045
1034,R045
1169,R045
1328,R045
1046,R045
1186,R045
1194,R046
1488,R046
1054,R046
1401,R046
1474,R046
1064,R046
1090,R046
1270,R046
1283,R047
1139,R047
1312,R047
1051,R047
1460,R047
1025,R047
1088,R047
1163,R047
1485,R047
1005,R048
1352,R048
1263,R048
1366,R048
1080,R048
1337,R048
1065,R048
1074,R048
1194,R048
1182,R049
1409,R049
1240,R049
1258,R049
1147,R049
1142,R049
1488,R049
1220,R049
1267,R049
1483,R049
1368,R049
1452,R049
1325,R050
1041,R050
1040,R050
1374,R050
1123,R050
1484,R050
1284,R051
1476,R051
1253,R051
1414,R051
1448,R051
1006,R051
1493,R051
1486,R051
1218,R051
1098,R052
1467,R052
1426,R052
1382,R052
1004,R052
1366,R052
1218,R052
1360,R052
1274,R052
1384,R052
1177,R052
1126,R052
1379,R052
1339,R052
1463,R053
1116,R053
1090,R053
1039,R053
1188,R053
1430,R053
1069,R053
1264,R053
1181,R053
1488,R053
1027,R053
1217,R053
1254,R053
1436,R054
1393,R054
1440,R054
1061,R054
1149,R054
1154,R054
1248,R054
1151,R054
1136,R054
1110,R054
1002,R054
1378,R054
1324,R054
1004,R055
1316,R055
1236,R055
1169,R055
1153,R055
1182,R055
1055,R055
1003,R055
1180,R055
1456,R055
1044,R056
1271,R056
1264,R056
1461,R056
1079,R056
1211,R056
1064,R056
1468,R056
1154,R057
1187,R057
1220,R057
1457,R057
1094,R057
1275,R057
1416,R057
1138,R057
1056,R057
1225,R057
1057,R058
1098,R058
1146,R058
1021,R058
1069,R058
1203,R058
1216,R058
1381,R058
1251,R059
1282,R059
1254,R059
1410,R059
1350,R059
1366,R059
1066,R059
1167,R059
1385,R059
1392,R059
1400,R059
1065,R060
1080,R060
1177,R060
1257,R060
1007,R060
1145,R061
1249,R061
1043,R061
1390,R061
1220,R061
1127,R061
1317,R061
1079,R061
1374,R061
1102,R062
1243,R062
1362,R062
1401,R062
1415,R062
1053,R062
1359,R062
1374,R062
1258,R062
1313,R062
1093,R062
1020,R063
1141,R063
1099,R063
1476,R063
1075,R063
1219,R063
1010,R063
1316,R063
1103,R063
1047,R063
1443,R063
1173,R064
1219,R064
1246,R064
1032,R064
1262,R064
1330,R064
1027,R064
1156,R064
1164,R065
1459,R065
1025,R065
1094,R065
1021,R065
1001,R065
1027,R065
1339,R065
1130,R066
1486,R066
1252,R066
1187,R066
1172,R066
1156,R066
1058,R066
1381,R067
1399,R067
1302,R067
1271,R067
1310,R067
1191,R067
1122,R067
1333,R067
1142,R067
1108,R067
1419,R068
1098,R068
1099,R068
1361,R068
1229,R068
1474,R068
1051,R068
1039,R068
1483,R068
1280,R068
1317,R068
1176,R068
1155,R068
1372,R068
1243,R068
1282,R069
1365,R069
1130,R069
1457,R069
1450,R069
1389,R069
1437,R069
1434,R069
1465,R069
1287,R069
1500,R069
1477,R070
1488,R070
1258,R070
1405,R070
1012,R070
1086,R070
1307,R070
1141,R070
1357,R070
1496,R070
1067,R070
1149,R070
1024,R070
1197,R071
1288,R071
1400,R071
1200,R071
1206,R071
1311,R071
1140,R071
1106,R071
1095,R071
1002,R071
1082,R071
1293,R071
1112,R071
1283,R072
1061,R072
1088,R072
1115,R072
1024,R072
1274,R072
1122,R072
1150,R072
1021,R072
1274,R073
1060,R073
1001,R073
1333,R073
1178,R073
1324,R073
1310,R073
1498,R073
1151,R074
1167,R074
1030,R074
1321,R074
1418,R074
1006,R074
1422,R074
1183,R074
1113,R074
1375,R074
1495,R074
1144,R074
1091,R074
1132,R074
1485,R075
1335,R075
1132,R075
1446,R075
1321,R075
1325,R075
1310,R075
1283,R075
1106,R075
1419,R075
1227,R075
1080,R076
1229,R076
1119,R076
1374,R076
1372,R076
1223,R076
1189,R076
1076,R076
1462,R076
1246,R076
1048,R076
1483,R077
1374,R077
1093,R077
1332,R077
1145,R077
1011,R077
1159,R077
1084,R077
1454,R077
1091,R077
1419,R077
1202,R077
1466,R078
1331,R078
1497,R078
1207,R078
1052,R078
1371,R078
1270,R078
1071,R078
1373,R078
1385,R078
1414,R078
1007,R078
1479,R079
1023,R079
1068,R079
1128,R079
1395,R079
1043,R079
1138,R079
1074,R079
1481,R079
1322,R079
1308,R079
1007,R079
1406,R079
1495,R079
1005,R079
1389,R080
1289,R080
1457,R080
1228,R080
1418,R080
1084,R080
1158,R080
1170,R080
1246,R080
1080,R080
1125,R080
1029,R080
1053,R081
1262,R081
1454,R081
1429,R081
1213,R081
1073,R081
1001,R081
1468,R081
1115,R081
1116,R082
1472,R082
1451,R082
1351,R082
1197,R082
1352,R082
1453,R082
1367,R082
1422,R082
1183,R083
1040,R083
1316,R083
1171,R083
1061,R083
1185,R083
1473,R083
1474,R083
1471,R083
1172,R084
1308,R084
1093,R084
1348,R084
1218,R084
1077,R084
1458,R084
1342,R084
1352,R084
1155,R084
1320,R084
1419,R084
1147,R084
1404,R085
1002,R085
1442,R085
1478,R085
1077,R085
1399,R085
1058,R086
1296,R086
1219,R086
1492,R086
1373,R086
1143,R086
1181,R087
1164,R087
1254,R087
1218,R087
1247,R087
1356,R087
1499,R087
1212,R087
1309,R087
1407,R087
1326,R087
1253,R088
1273,R088
1275,R088
1421,R088
1118,R088
1197,R088
1043,R088
1298,R088
1367,R088
1216,R088
1270,R088
1296,R088
1398,R088
1186,R089
1286,R089
1243,R089
1491,R089
1069,R089
1074,R090
1428,R090
1437,R090
1283,R090
1498,R090
1477,R090
1468,R090
1216,R090
1125,R090
1108,R090
1424,R090
1115,R090
1357,R091
1495,R091
1218,R091
1191,R091
1028,R091
1073,R092
1041,R092
1126,R092
1040,R092
1007,R092
1292,R092
1426,R092
1417,R092
1214,R092
1077,R092
1228,R093
1401,R093
1331,R093
1356,R093
1007,R093
1147,R093
1057,R093
1080,R093
1031,R093
1452,R093
1349,R094
1486,R094
1449,R094
1233,R094
1284,R094
1365,R094
1425,R094
1133,R094
1471,R094
1293,R094
1257,R094
1381,R095
1109,R095
1206,R095
1317,R095
1029,R095
1113,R095
1201,R095
1161,R096
1335,R096
1329,R096
1208,R096
1424,R096
1195,R096
1085,R096
1028,R096
1412,R096
1191,R096
1332,R096
1218,R096
1399,R097
1434,R097
1172,R097
1015,R097
1123,R097
1145,R097
1084,R097
1278,R097
1055,R097
1034,R097
1109,R097
1306,R097
1006,R097
1388,R097
1292,R098
1290,R098
1023,R098
1289,R098
1405,R098
1248,R098
1385,R099
1145,R099
1491,R099
1204,R099
1257,R099
1100,R099
1162,R099
1201,R099
1372,R099
1183,R099
1258,R100
1414,R100
1397,R100
1077,R100
1013,R100
1301,R100
1041,R101
1454,R101
1321,R101
1048,R101
1488,R101
1368,R101
1119,R101
1453,R101
1111,R101
1414,R101
1349,R101
1335,R101
1185,R102
1320,R102
1439,R102
1482,R102
1221,R102
1021,R102
1457,R102
1365,R102
1397,R102
1050,R103
1413,R103
1008,R103
1074,R103
1393,R103
1446,R103
1159,R103
1281,R103
1445,R103
1497,R103
1409,R103
1401,R103
1083,R104
1035,R104
1144,R104
1296,R104
1187,R104
1181,R104
1046,R104
1037,R104
1092,R104
1498,R105
1292,R105
1250,R105
1021,R105
1187,R105
1440,R105
1488,R106
1161,R106
1192,R106
1043,R106
1350,R106
1212,R106
1260,R106
1231,R106
1135,R106
1450,R106
1449,R106
1022,R106
1318,R106
1330,R106
1149,R107
1193,R107
1082,R107
1292,R107
1205,R107
1438,R107
1240,R108
1329,R108
1274,R108
1461,R108
1419,R108
1239,R108
1056,R108
1044,R108
1093,R108
1375,R108
1470,R108
1492,R108
1249,R109
1109,R109
1360,R109
1380,R109
1244,R109
1059,R109
1143,R109
1233,R109
1020,R109
1280,R109
1080,R109
1486,R109
1241,R109
1075,R109
1243,R110
1110,R110
1028,R110
1109,R110
1445,R110
1012,R110
1488,R110
1389,R110
1351,R110
1217,R110
1139,R110
1042,R111
1153,R111
1448,R111
1365,R111
1232,R111
1447,R111
1215,R111
1269,R111
1110,R111
1343,R111
1458,R111
1102,R112
1179,R112
1483,R112
1215,R112
1247,R112
1244,R112
1275,R112
1102,R113
1040,R113
1371,R113
1342,R113
1297,R113
1316,R113
1075,R113
1166,R113
1341,R113
1422,R113
1481,R113
1376,R113
1381,R113
1423,R113
1059,R114
1406,R114
1497,R114
1346,R114
1209,R114
1135,R114
1267,R114
1370,R114
1002,R114
1231,R114
1216,R115
1357,R115
1280,R115
1397,R115
1086,R115
1308,R115
1194,R115
1111,R115
1258,R116
1420,R116
1445,R116
1064,R116
1359,R116
1256,R116
1333,R116
1234,R116
1212,R116
1475,R117
1091,R117
1235,R117
1220,R117
1192,R117
1284,R117
1325,R118
1146,R118
1360,R118
1318,R118
1481,R118
1474,R118
1464,R118
1439,R118
1051,R118
1045,R118
1413,R118
1475,R119
1279,R119
1052,R119
1325,R119
1228,R119
1258,R119
1298,R119
1413,R119
1017,R119
1342,R119
1149,R119
1437,R119
1216,R119
1109,R119
1487,R120
1064,R120
1180,R120
1496,R120
1407,R120
1468,R120
1238,R120
1212,R120
1465,R120
1421,R120
1331,R120
1361,R120
1430,R121
1463,R121
1408,R121
1466,R121
1213,R121
1345,R121
1124,R121
1003,R121
1461,R121
1420,R122
1380,R122
1308,R122
1163,R122
1172,R122
1088,R122
1492,R122
1293,R122
1221,R122
1124,R122
1285,R122
1499,R122
1201,R122
1481,R123
1326,R123
1200,R123
1373,R123
1089,R123
1207,R123
1463,R123
1259,R124
1061,R124
1324,R124
1296,R124
1402,R124
1201,R124
1432,R124
1224,R125
1006,R125
1322,R125
1395,R125
1304,R125
1381,R126
1376,R126
1067,R126
1233,R126
1325,R126
1372,R127
1400,R127
1414,R127
1403,R127
1194,R127
1395,R127
1134,R127
1338,R127
1297,R128
1444,R128
1053,R128
1057,R128
1236,R128
1475,R128
1306,R128
1063,R128
1055,R128
1073,R128
1145,R128
1135,R128
1459,R128
1093,R128
1048,R128
1408,R129
1012,R129
1212,R129
1038,R129
1250,R129
1492,R129
1321,R129
1040,R129
1108,R129
1352,R129
1215,R129
1193,R129
1338,R130
1291,R130
1324,R130
1311,R130
1438,R130
1017,R130
1061,R130
1475,R131
1063,R131
1099,R131
1311,R131
1016,R131
1275,R131
1012,R131
1266,R131
1263,R131
1071,R132
1113,R132
1043,R132
1373,R132
1355,R132
1482,R132
1065,R132
1138,R132
1141,R132
1247,R132
1224,R133
1263,R133
1485,R133
1205,R133
1473,R133
1099,R133
1129,R133
1089,R133
1102,R133
1352,R133
1434,R133
1455,R133
1222,R134
1453,R134
1229,R134
1217,R134
1306,R134
1383,R134
1140,R134
1418,R134
1164,R134
1319,R134
1056,R134
1311,R134
1456,R135
1018,R135
1491,R135
1262,R135
1130,R135
1301,R135
1210,R135
1220,R136
1405,R136
1096,R136
1184,R136
1126,R136
1038,R136
1111,R136
1337,R136
1191,R136
1075,R136
1239,R137
1291,R137
1408,R137
1165,R137
1461,R137
1120,R137
1288,R137
1034,R137
1367,R138
1312,R138
1485,R138
1453,R138
1414,R138
1441,R138
1344,R138
1039,R138
1294,R138
1256,R139
1024,R139
1141,R139
1216,R139
1062,R139
1064,R139
1232,R139
1088,R139
1308,R139
1168,R139
1303,R139
1197,R139
1003,R140
1467,R140
1237,R140
1146,R140
1068,R140
1431,R140
1496,R140
1207,R140
1019,R140
1459,R140
1274,R140
1471,R140
1271,R140
1021,R140
1141,R141
1163,R141
1386,R141
1178,R141
1205,R141
1041,R141
1285,R141
1397,R141
1161,R141
1496,R142
1467,R142
1063,R142
1432,R142
1192,R142
1481,R142
1317,R142
1053,R142
1015,R142
1115,R142
1025,R142
1423,R142
1006,R142
1072,R142
1054,R142
1418,R143
1463,R143
1276,R143
1003,R143
1479,R143
1353,R143
1445,R143
1027,R143
1133,R143
1453,R143
1406,R144
1416,R144
1195,R144
1139,R144
1358,R144
1088,R144
1474,R144
1071,R144
1299,R144
1236,R144
1062,R144
1065,R144
1164,R144
1442,R144
1124,R145
1296,R145
1245,R145
1339,R145
1251,R145
1500,R145
1144,R145
1165,R145
1396,R145
1375,R145
1248,R145
1116,R145
1048,R145
1356,R146
1040,R146
1039,R146
1498,R146
1254,R146
1031,R146
1109,R146
1007,R146
1390,R147
1271,R147
1264,R147
1440,R147
1161,R147
1484,R147
1160,R147
1363,R147
1233,R147
1336,R147
1079,R147
1435,R147
1259,R147
1055,R147
1400,R148
1205,R148
1097,R148
1036,R148
1143,R148
1217,R148
1085,R148
1352,R148
1009,R149
1458,R149
1236,R149
1096,R149
1137,R149
1015,R149
1244,R149
1339,R149
1078,R150
1204,R150
1258,R150
1221,R150
1261,R150
1171,R150
1028,R150
1226,R150
1097,R151
1207,R151
1091,R151
1305,R151
1142,R151
1272,R151
1312,R151
1253,R151
1266,R151
1459,R152
1019,R152
1295,R152
1137,R152
1123,R152
1201,R153
1202,R153
1052,R153
1113,R153
1376,R153
1422,R153
1451,R153
1355,R153
1138,R153
1254,R153
1106,R153
1049,R154
1095,R154
1258,R154
1465,R154
1359,R154
1171,R155
1461,R155
1234,R155
1073,R155
1493,R155
1007,R155
1342,R155
1088,R156
1348,R156
1390,R156
1437,R156
1005,R156
1305,R156
1420,R157
1009,R157
1291,R157
1349,R157
1149,R157
1052,R158
1156,R158
1412,R158
1377,R158
1172,R158
1232,R158
1424,R159
1181,R159
1155,R159
1364,R159
1171,R159
1011,R160
1076,R160
1211,R160
1439,R160
1113,R160
1338,R160
1073,R160
1183,R160
1255,R160
1016,R160
1126,R160
1296,R160
1380,R160
1357,R160
1499,R160
1495,R161
1141,R161
1450,R161
1321,R161
1348,R161
1279,R161
1484,R162
1142,R162
1159,R162
1098,R162
1022,R162
1297,R162
1267,R162
1360,R162
1176,R162
1428,R162
1314,R162
1256,R163
1475,R163
1351,R163
1076,R163
1239,R163
1008,R164
1233,R164
1021,R164
1112,R164
1145,R164
1423,R164
1304,R164
1064,R164
1028,R164
1071,R165
1180,R165
1450,R165
1146,R165
1403,R165
1440,R165
1258,R165
1341,R165
1491,R165
1149,R166
1113,R166
1017,R166
1243,R166
1478,R166
1182,R166
1472,R167
1155,R167
1306,R167
1160,R167
1089,R167
1289,R167
1224,R167
1348,R167
1449,R167
1155,R168
1157,R168
1044,R168
1153,R168
1291,R168
1475,R168
1322,R168
1237,R168
1258,R169
1479,R169
1351,R169
1365,R169
1184,R169
1240,R169
1182,R169
1219,R169
1239,R169
1216,R169
1387,R170
1072,R170
1315,R170
1465,R170
1155,R170
1403,R170
1450,R171
1151,R171
1028,R171
1387,R171
1433,R171
1202,R171
1065,R171
1207,R171
1344,R171
1004,R171
1237,R171
1414,R171
1391,R171
1448,R171
1050,R172
1421,R172
1149,R172
1290,R172
1247,R172
1354,R172
1170,R172
1443,R172
1032,R172
1063,R172
1380,R172
1300,R172
1346,R172
1262,R172
1328,R173
1437,R173
1080,R173
1155,R173
1322,R173
1160,R173
1369,R173
1480,R173
1004,R173
1413,R173
1249,R173
1320,R173
1353,R173
1103,R173
1059,R173
1105,R174
1054,R174
1243,R174
1013,R174
1427,R174
1259,R174
1228,R174
1201,R174
1431,R175
1435,R175
1280,R175
1134,R175
1421,R175
1314,R175
1349,R175
1225,R175
1124,R176
1088,R176
1262,R176
1380,R176
1359,R176
1280,R176
1103,R176
1244,R176
1246,R176
1149,R176
1342,R176
1052,R176
1492,R176
1302,R176
1253,R176
1417,R177
1218,R177
1076,R177
1015,R177
1146,R177
1235,R177
1062,R177
1289,R177
1200,R177
1006,R177
1298,R177
1240,R178
1452,R178
1371,R178
1235,R178
1142,R178
1005,R178
1082,R178
1033,R179
1090,R179
1336,R179
1078,R179
1181,R179
1369,R179
1289,R179
1174,R179
1236,R179
1367,R179
1440,R179
1403,R179
1072,R179
1493,R180
1242,R180
1311,R180
1338,R180
1093,R180
1295,R180
1363,R180
1475,R180
1260,R180
1398,R180
1270,R180
1119,R181
1050,R181
1341,R181
1055,R181
1256,R181
1479,R181
1348,R181
1387,R182
1499,R182
1216,R182
1473,R182
1033,R182
1032,R182
1314,R182
1129,R182
1059,R182
1020,R182
1434,R182
1194,R183
1069,R183
1327,R183
1294,R183
1285,R183
1103,R183
1101,R183
1130,R183
1252,R183
1225,R183
1348,R183
1147,R183
1013,R184
1323,R184
1492,R184
1343,R184
1050,R184
1105,R184
1018,R184
1415,R184
1072,R184
1458,R184
1003,R184
1185,R184
1397,R184
1209,R184
1257,R185
1181,R185
1183,R185
1317,R185
1461,R185
1287,R185
1437,R185
1071,R185
1411,R185
1035,R185
1225,R185
1219,R185
1027,R186
1308,R186
1277,R186
1170,R186
1012,R186
1115,R186
1421,R186
1482,R186
1039,R187
1274,R187
1295,R187
1124,R187
1437,R187
1266,R187
1478,R187
1313,R187
1257,R187
1335,R188
1016,R188
1017,R188
1174,R188
1216,R188
1134,R188
1103,R188
1172,R188
1455,R188
1121,R189
1253,R189
1038,R189
1413,R189
1486,R189
1455,R190
1283,R190
1246,R190
1485,R190
1067,R190
1139,R190
1245,R191
1156,R191
1401,R191
1436,R191
1449,R191
1498,R191
1117,R191
1011,R191
1477,R191
1029,R191
1014,R191
1247,R192
1027,R192
1199,R192
1393,R192
1194,R192
1357,R192
1065,R192
1221,R192
1360,R192
1219,R192
1282,R192
1071,R192
1060,R192
1122,R193
1119,R193
1048,R193
1302,R193
1006,R193
1417,R194
1030,R194
1040,R194
1065,R194
1225,R194
1093,R194
1145,R194
1023,R194
1337,R195
1063,R195
1040,R195
1129,R195
1481,R195
1279,R195
1106,R195
1254,R195
1362,R195
1377,R195
1417,R195
1183,R195
1126,R196
1270,R196
1458,R196
1137,R196
1164,R196
1358,R196
1278,R196
1258,R196
1054,R196
1028,R196
1178,R196
1462,R196
1211,R196
1362,R196
1487,R196
1380,R197
1284,R197
1108,R197
1063,R197
1191,R197
1372,R197
1418,R197
1404,R197
1073,R197
1139,R198
1143,R198
1302,R198
1197,R198
1154,R198
1197,R199
1228,R199
1023,R199
1115,R199
1106,R199
1195,R199
1095,R199
1338,R199
1221,R199
1273,R199
1027,R199
1473,R200
1425,R200
1465,R200
1135,R200
1415,R200
1386,R200
1303,R200
1111,R200
1388,R200
1015,R200
