idR,intitule,date_repas,idO
R040,Repas Annuel 40,2023-08-01 11:26:25,1
R041,Repas Solennel 41,2023-02-11 20:12:18,17
R042,Repas Festif 42,2023-11-05 02:30:40,7
R043,Repas Solennel 43,2024-04-12 14:31:11,7
R044,Repas Festif 44,2023-09-07 07:59:22,16
R045,Repas Mensuel 45,2024-03-13 19:50:07,11
R046,Repas Annuel 46,2024-03-25 18:07:37,14
R047,Repas Annuel 47,2023-04-29 11:08:43,15
R048,Repas Festif 48,2023-12-29 00:42:19,1
R049,Repas Solennel 49,2024-05-21 01:13:27,15
R050,Repas Solennel 50,2023-06-24 11:36:48,11
R051,Repas Mensuel 51,2023-05-30 21:08:33,6
R052,Repas Festif 52,2023-09-22 20:33:23,3
R053,Repas Annuel 53,2023-01-22 21:54:29,4
R054,Repas Solennel 54,2023-08-01 02:53:43,7
R055,Repas Annuel 55,2023-02-02 01:12:45,1
R056,Repas Solennel 56,2023-05-25 09:53:38,6
R057,Repas Solennel 57,2024-10-08 07:53:47,6
R058,Repas Annuel 58,2024-09-10 16:47:56,8
R059,Repas Solennel 59,2023-05-24 01:42:07,6
R060,Repas Annuel 60,2024-10-26 18:34:10,1
R061,Repas Solennel 61,2023-10-04 14:43:36,4
R062,Repas Annuel 62,2024-11-14 08:43:08,10
R063,Repas Mensuel 63,2023-06-25 07:25:36,12
R064,Repas Solennel 64,2024-11-18 01:09:14,20
R065,Repas Mensuel 65,2024-10-03 05:21:17,3
R066,Repas Festif 66,2023-04-16 10:27:10,5
R067,Repas Solennel 67,2023-05-20 22:15:22,13
R068,Repas Annuel 68,2023-08-21 02:30:43,14
R069,Repas Solennel 69,2024-11-03 08:09:29,20
R070,Repas Solennel 70,2024-09-15 17:42:31,10
R071,Repas Solennel 71,2023-08-28 04:57:51,2
R072,Repas Annuel 72,2024-09-29 04:21:29,17
R073,Repas Mensuel 73,2023-06-02 17:50:32,3
R074,Repas Mensuel 74,2024-07-31 10:16:16,20
R075,Repas Festif 75,2023-05-03 05:26:08,13
R076,Repas Annuel 76,2023-12-30 23:15:28,15
R077,Repas Solennel 77,2023-08-23 22:20:28,12
R078,Repas Mensuel 78,2024-06-06 10:11:08,16
R079,Repas Mensuel 79,2023-07-15 21:14:14,13
R080,Repas Festif 80,2023-06-01 06:08:13,7
R081,Repas Mensuel 81,2024-09-22 02:42:28,13
R082,Repas Solennel 82,2023-08-12 09:06:11,13
R083,Repas Solennel 83,2024-11-13 21:56:27,12
R084,Repas Annuel 84,2024-02-06 21:40:14,5
R085,Repas Festif 85,2023-08-04 09:14:28,17
R086,Repas Annuel 86,2023-06-18 00:42:40,2
R087,Repas Mensuel 87,2024-01-09 22:49:54,11
R088,Repas Mensuel 88,2023-11-26 08:10:08,14
R089,Repas Mensuel 89,2023-09-26 06:48:33,16
R090,Repas Annuel 90,2023-07-19 07:18:03,1
R091,Repas Solennel 91,2023-11-19 10:22:56,9
R092,Repas Festif 92,2023-09-20 03:18:29,3
R093,Repas Annuel 93,2024-09-07 02:24:40,17
R094,Repas Festif 94,2024-07-27 16:30:00,8
R095,Repas Festif 95,2023-03-28 13:39:34,12
R096,Repas Festif 96,2024-02-03 14:22:35,11
R097,Repas Solennel 97,2024-05-07 19:52:49,9
R098,Repas Annuel 98,2024-06-28 00:06:10,9
R099,Repas Solennel 99,2024-05-30 02:51:32,5
R100,Repas Annuel 100,2023-01-07 05:30:48,10
R101,Repas Annuel 101,2024-08-23 06:51:04,13
R102,Repas Mensuel 102,2024-08-22 23:00:36,1
R103,Repas Mensuel 103,2024-04-22 11:40:29,5
R104,Repas Mensuel 104,2023-06-16 03:10:30,7
R105,Repas Mensuel 105,2023-06-20 14:49:49,19
R106,Repas Mensuel 106,2024-06-11 10:22:52,15
R107,Repas Annuel 107,2024-08-01 02:20:55,11
R108,Repas Solennel 108,2023-11-10 00:27:10,14
R109,Repas Solennel 109,2023-11-17 05:41:15,18
R110,Repas Festif 110,2023-10-01 12:44:48,19
R111,Repas Solennel 111,2023-08-12 01:37:13,1
R112,Repas Mensuel 112,2024-08-14 14:13:56,12
R113,Repas Annuel 113,2023-06-14 14:35:45,14
R114,Repas Mensuel 114,2024-07-10 20:59:04,18
R115,Repas Annuel 115,2023-08-27 00:54:47,1
R116,Repas Festif 116,2024-11-04 03:57:58,5
R117,Repas Annuel 117,2024-02-19 18:42:15,20
R118,Repas Mensuel 118,2024-12-16 12:36:55,7
R119,Repas Mensuel 119,2023-02-16 12:11:09,13
R120,Repas Solennel 120,2023-12-13 14:06:16,11
R121,Repas Mensuel 121,2024-04-11 11:20:16,10
R122,Repas Festif 122,2023-05-06 03:20:33,18
R123,Repas Solennel 123,2023-01-24 09:40:34,20
R124,Repas Mensuel 124,2023-01-20 14:12:38,7
R125,Repas Festif 125,2024-10-27 06:46:11,13
R126,Repas Annuel 126,2023-05-31 07:13:58,10
R127,Repas Festif 127,2023-11-28 21:42:28,12
R128,Repas Festif 128,2023-05-06 10:23:11,14
R129,Repas Mensuel 129,2023-04-25 15:15:40,4
R130,Repas Solennel 130,2024-01-27 14:39:24,16
R131,Repas Festif 131,2023-10-11 23:09:20,7
R132,Repas Solennel 132,2024-09-27 10:16:03,10
R133,Repas Mensuel 133,2024-08-20 01:32:23,16
R134,Repas Solennel 134,2024-03-16 16:59:22,10
R135,Repas Solennel 135,2024-01-02 19:21:44,15
R136,Repas Annuel 136,2023-05-28 05:49:54,5
R137,Repas Mensuel 137,2023-02-16 16:45:18,13
R138,Repas Solennel 138,2024-01-19 21:00:21,19
R139,Repas Mensuel 139,2023-12-02 22:47:02,19
R140,Repas Festif 140,2024-06-22 05:19:59,10
R141,Repas Mensuel 141,2023-09-11 03:37:04,10
R142,Repas Mensuel 142,2024-03-23 12:14:31,6
R143,Repas Mensuel 143,2023-07-01 20:50:31,20
R144,Repas Mensuel 144,2023-12-01 05:08:57,6
R145,Repas Festif 145,2023-10-15 07:01:08,2
R146,Repas Solennel 146,2024-10-08 10:41:33,6
R147,Repas Annuel 147,2024-10-06 06:22:41,18
R148,Repas Annuel 148,2024-05-01 15:49:46,3
R149,Repas Solennel 149,2024-10-25 09:03:46,14
R150,Repas Festif 150,2024-12-27 13:56:34,3
R151,Repas Festif 151,2024-01-04 04:59:51,11
R152,Repas Mensuel 152,2023-11-26 04:23:54,9
R153,Repas Solennel 153,2024-01-05 10:15:04,15
R154,Repas Festif 154,2023-02-23 10:23:06,15
R155,Repas Mensuel 155,2023-09-08 20:52:59,13
R156,Repas Solennel 156,2023-10-17 13:44:03,1
R157,Repas Annuel 157,2023-03-25 17:14:28,5
R158,Repas Annuel 158,2024-05-04 07:34:42,15
R159,Repas Mensuel 159,2023-12-03 18:58:28,3
R160,Repas Solennel 160,2024-06-04 21:56:54,15
R161,Repas Solennel 161,2023-12-10 16:12:03,9
R162,Repas Solennel 162,2023-05-05 12:43:15,1
R163,Repas Festif 163,2023-05-10 09:11:07,4
R164,Repas Mensuel 164,2023-05-03 23:18:11,1
R165,Repas Annuel 165,2023-04-23 01:15:29,12
R166,Repas Solennel 166,2023-06-08 04:06:03,2
R167,Repas Solennel 167,2023-11-19 16:51:31,2
R168,Repas Festif 168,2023-10-13 03:38:03,10
R169,Repas Mensuel 169,2023-02-08 06:18:55,1
R170,Repas Festif 170,2024-07-17 20:37:04,7
R171,Repas Solennel 171,2023-10-01 11:46:30,8
R172,Repas Solennel 172,2023-03-08 17:05:24,14
R173,Repas Festif 173,2024-12-23 04:22:18,11
R174,Repas Solennel 174,2024-05-11 08:53:27,3
R175,Repas Solennel 175,2024-11-30 21:13:00,4
R176,Repas Solennel 176,2024-06-12 12:40:53,2
R177,Repas Mensuel 177,2024-01-10 03:00:06,11
R178,Repas Annuel 178,2024-02-15 07:11:17,7
R179,Repas Solennel 179,2024-11-13 01:24:55,13
R180,Repas Mensuel 180,2023-03-30 04:29:07,7
R181,Repas Festif 181,2023-09-18 07:13:02,6
R182,Repas Festif 182,2023-10-21 13:29:01,11
R183,Repas Festif 183,2023-10-12 02:33:00,15
R184,Repas Solennel 184,2023-02-18 04:36:19,9
R185,Repas Annuel 185,2023-02-02 01:48:36,7
R186,Repas Mensuel 186,2023-08-09 02:52:48,20
R187,Repas Mensuel 187,2024-12-18 15:57:20,4
R188,Repas Solennel 188,2023-07-03 21:59:29,4
R189,Repas Annuel 189,2024-12-17 10:24:23,13
R190,Repas Solennel 190,2023-08-31 09:27:19,11
R191,Repas Mensuel 191,2023-02-19 06:50:10,1
R192,Repas Mensuel 192,2023-10-07 03:08:48,8
R193,Repas Festif 193,2023-06-19 19:15:19,20
R194,Repas Festif 194,2023-08-14 11:01:40,14
R195,Repas Solennel 195,2024-03-28 10:18:15,2
R196,Repas Solennel 196,2023-10-01 09:39:14,10
R197,Repas Solennel 197,2023-04-21 17:16:07,7
R198,Repas Festif 198,2023-06-23 18:52:50,20
R199,Repas Mensuel 199,2024-06-23 15:45:31,11
R200,Repas Solennel 200,2023-07-23 00:46:31,2
